stock_name,institution,q_content,a_content,sentiment_score,research_count,short_avg,long_avg,density_ratio,institution_quality,quality_weighted_score,rolling_sentiment_5,density_ratio_norm,rolling_sentiment_norm,quality_norm,IRSF_score,IRSF_score_norm,ts_code
股票17,华泰证券,公司发展前景如何?,公司发展良好，业绩稳定增长,0.12459393432663579,1,1.0,1.0,1.0,0.7037037037037037,0.08767721304466963,0.12459393432663579,1.0,0.0,0.0,0.3,-3.07133948924947e-16,000001.SZ
股票584,某机构,公司发展前景如何?,公司发展良好，业绩稳定增长,-0.2759006795316121,1,1.0,1.0,1.0,0.11851851851851852,-0.03269933979633922,-0.2759006795316121,1.0,0.0,0.0,0.3,-3.07133948924947e-16,000001.SZ
股票828,某机构,公司发展前景如何?,公司发展良好，业绩稳定增长,-0.2613322613660527,1,1.0,1.0,1.0,0.11851851851851852,-0.03097271245819884,-0.2613322613660527,1.0,0.0,0.0,0.3,-3.07133948924947e-16,000001.SZ
股票726,中信证券,公司发展前景如何?,公司发展良好，业绩稳定增长,-0.34054837180236464,1,1.0,1.0,1.0,0.0,-0.0,-0.34054837180236464,1.0,0.0,0.0,0.3,-3.07133948924947e-16,000001.SZ
股票558,中信证券,公司发展前景如何?,公司发展良好，业绩稳定增长,-0.4077572894913205,1,1.0,1.0,1.0,0.0,-0.0,-0.4077572894913205,1.0,0.0,0.0,0.3,-3.07133948924947e-16,000001.SZ
股票375,中信证券,公司发展前景如何?,公司发展良好，业绩稳定增长,-0.22828429529761562,1,1.0,1.0,1.0,0.0,-0.0,-0.22828429529761562,1.0,0.0,0.0,0.3,-3.07133948924947e-16,000001.SZ
股票564,华泰证券,公司发展前景如何?,公司发展良好，业绩稳定增长,0.48890762882337935,1,1.0,1.0,1.0,0.7037037037037037,0.3440461091720077,0.48890762882337935,1.0,0.0,0.0,0.3,-3.07133948924947e-16,000001.SZ
股票630,某机构,公司发展前景如何?,公司发展良好，业绩稳定增长,-0.16391282851509292,1,1.0,1.0,1.0,0.11851851851851852,-0.01942670560178879,-0.16391282851509292,1.0,0.0,0.0,0.3,-3.07133948924947e-16,000001.SZ
股票818,中金公司,公司发展前景如何?,公司发展良好，业绩稳定增长,0.4905947603786722,1,1.0,1.0,1.0,1.0,0.4905947603786722,0.4905947603786722,1.0,0.0,0.0,0.3,-3.07133948924947e-16,000001.SZ
股票297,中金公司,公司发展前景如何?,公司发展良好，业绩稳定增长,-0.24952645926643502,1,1.0,1.0,1.0,1.0,-0.24952645926643502,-0.24952645926643502,1.0,0.0,0.0,0.3,-3.07133948924947e-16,000001.SZ
股票824,某机构,公司发展前景如何?,公司发展良好，业绩稳定增长,-0.3042149345675945,2,2.0,2.0,1.0,0.11851851851851852,-0.03605510335615935,-0.3042149345675945,1.0,0.0,0.0,0.3,-3.07133948924947e-16,000001.SZ
股票128,某机构,公司发展前景如何?,公司发展良好，业绩稳定增长,-0.1292460738614638,2,2.0,2.0,1.0,0.11851851851851852,-0.015318053198395711,-0.21673050421452916,1.0,0.7071067811865477,0.7071067811865475,0.7949747468305832,2.73861278752583,000001.SZ
股票186,华泰证券,公司发展前景如何?,公司发展良好，业绩稳定增长,-0.2736576643427916,1,1.0,1.0,1.0,0.7037037037037037,-0.19257391194492743,-0.2736576643427916,1.0,0.0,0.0,0.3,-3.07133948924947e-16,000001.SZ
股票218,中金公司,公司发展前景如何?,公司发展良好，业绩稳定增长,-0.2825702905715277,2,2.0,2.0,1.0,1.0,-0.2825702905715277,-0.050274961354530245,1.0,-0.7071067811865475,-0.7071067811865475,-0.19497474683058325,-2.738612787525831,000001.SZ
股票56,中信证券,公司发展前景如何?,公司发展良好，业绩稳定增长,0.18202036786246722,2,2.0,2.0,1.0,0.0,0.0,0.18202036786246722,1.0,0.0,0.0,0.3,-3.07133948924947e-16,000001.SZ
股票544,华泰证券,公司发展前景如何?,公司发展良好，业绩稳定增长,0.38969280520789373,1,1.0,1.0,1.0,0.7037037037037037,0.2742282703314808,0.38969280520789373,1.0,0.0,0.0,0.3,-3.07133948924947e-16,000001.SZ
股票527,华泰证券,公司发展前景如何?,公司发展良好，业绩稳定增长,0.2626316264406696,1,1.0,1.0,1.0,0.7037037037037037,0.18481484823602679,0.2626316264406696,1.0,0.0,0.0,0.3,0.12644100303106448,000001.SZ
股票839,中信证券,公司发展前景如何?,公司发展良好，业绩稳定增长,-0.041814960698329684,2,1.5,1.5,1.0,0.0,-0.0,-0.1588578201149709,1.0,0.7071067811865476,0.7071067811865476,0.7949747468305833,1.8992215191964938,000001.SZ
股票932,某机构,公司发展前景如何?,公司发展良好，业绩稳定增长,-0.089543124376666,1,1.0,1.0,1.0,0.11851851851851852,-0.010612518444641898,-0.089543124376666,1.0,0.0,0.0,0.3,0.12644100303106448,000001.SZ
股票774,中金公司,公司发展前景如何?,公司发展良好，业绩稳定增长,-0.19274723671006766,3,2.3333333333333335,2.3333333333333335,1.0,1.0,-0.19274723671006766,-0.208736081713042,1.0,0.6511685999012272,-1.1480859628290954,0.21604165111176227,-0.17426065100590626,000001.SZ
股票175,某机构,公司发展前景如何?,公司发展良好，业绩稳定增长,-0.413774518216966,2,1.5,1.5,1.0,0.11851851851851852,-0.04903994289978856,-0.3210294067572908,1.0,-0.7071067811865478,-0.7071067811865476,-0.19497474683058338,-1.6463395131343648,000001.SZ
股票888,中金公司,公司发展前景如何?,公司发展良好，业绩稳定增长,-0.17421062294436873,2,2.0,2.0,1.0,1.0,-0.17421062294436873,-0.21002968632528402,1.0,0.7071067811865475,-0.7071067811865476,0.37071067811865466,0.3796953624832683,000001.SZ
股票571,某机构,公司发展前景如何?,公司发展良好，业绩稳定增长,-0.022676054688141156,2,1.5,1.5,1.0,0.11851851851851852,-0.0026875324074833963,-0.1816122132452529,1.0,0.7071067811865476,-0.7071067811865476,0.37071067811865477,0.3796953624832687,000001.SZ
股票416,华泰证券,公司发展前景如何?,公司发展良好，业绩稳定增长,0.13629584776940695,1,1.0,1.0,1.0,0.7037037037037037,0.09591189287476785,0.13629584776940695,1.0,0.0,0.0,0.3,0.12644100303106448,000001.SZ
股票397,华泰证券,公司发展前景如何?,公司发展良好，业绩稳定增长,0.24668311013931332,2,1.5,1.5,1.0,0.7037037037037037,0.17359181824618344,0.0413851408121102,1.0,0.7071067811865476,0.7071067811865476,0.7949747468305833,1.8992215191964938,000001.SZ
股票896,中信证券,公司发展前景如何?,公司发展良好，业绩稳定增长,-0.4770337339233619,1,1.0,1.0,1.0,0.0,-0.0,-0.4770337339233619,1.0,0.0,0.0,0.3,0.12644100303106448,000001.SZ
股票274,某机构,公司发展前景如何?,公司发展良好，业绩稳定增长,-0.2458487497061993,2,2.0,2.0,1.0,0.11851851851851852,-0.029137629594808808,-0.2458487497061993,1.0,0.0,0.0,0.3,0.12644100303106448,000001.SZ
股票687,中金公司,公司发展前景如何?,公司发展良好，业绩稳定增长,0.09125320769872547,2,1.5,1.5,1.0,1.0,0.09125320769872547,0.29092398403869885,1.0,-0.7071067811865475,-0.7071067811865475,-0.19497474683058325,-1.646339513134364,000001.SZ
股票314,中金公司,公司发展前景如何?,公司发展良好，业绩稳定增长,0.438103641166825,1,1.0,1.0,1.0,1.0,0.438103641166825,0.438103641166825,1.0,0.0,0.0,0.3,0.12644100303106448,000001.SZ
